Episodio,Pasos totales,Recompensa,Duracion,Intervenciones,Eficiencia_Pto_Paso,Ratio_Seguridad_IA,Muertes,Puntos_por_muerte,Win,EndReason,UnsafeSteps,UnsafeRatio,Con_Escudo,Distancia_Recompensa,Distancia_Escudo,Modelo,ConfigID,Grupo,Archivo
MEDIA,638.3,629.0,638.3,0.0,0.94945127,100.0,3.0,209.6666660308838,0.0,,68.4,11.045607025989735,True,10.0,0.0,dqn_pacman_IA_Sola_ShieldOFF_Penalty_d10_steps400000,R10,R,validacion_dqn_pacman_IA_Sola_ShieldOFF_Penalty_d10_steps400000_shield_d0_reward_d10.csv
MEDIA,566.4,696.5,566.4,0.0,1.1510236,100.0,3.0,232.16666717529296,0.0,,223.9,41.42257007228977,True,20.0,0.0,dqn_pacman_IA_Sola_ShieldOFF_Penalty_d20_steps400000,R20,R,validacion_dqn_pacman_IA_Sola_ShieldOFF_Penalty_d20_steps400000_shield_d0_reward_d20.csv
MEDIA,518.9,526.0,518.9,0.0,1.0208685,100.0,3.0,175.33333206176758,0.0,,0.0,0.0,False,0.0,0.0,dqn_pacman_IA_Sola_ShieldOFF_steps400000,B1,B,validacion_dqn_pacman_IA_Sola_ShieldOFF_steps400000_NoShield_reward_d0.csv
MEDIA,717.1,508.5,717.1,81.8,0.7058101,88.43948635866006,3.0,169.50000076293946,0.0,,240.75,33.91895864046439,True,20.0,10.0,dqn_pacman_IA_Sola_ShieldON_d10_Penalty_d20_steps400000,SR10-20,SR,validacion_dqn_pacman_IA_Sola_ShieldON_d10_Penalty_d20_steps400000_shield_d10_reward_d20.csv
MEDIA,789.3,975.0,789.3,90.7,1.2486817,88.15485053005278,3.0,325.0,0.0,,0.0,0.0,True,0.0,10.0,dqn_pacman_IA_Sola_ShieldON_d10_steps400000,S10,S,validacion_dqn_pacman_IA_Sola_ShieldON_d10_steps400000_shield_d10_reward_d0.csv
MEDIA,664.0,718.0,664.0,63.75,1.0611479,90.07224356547128,3.0,239.3333324432373,0.0,,72.2,11.162699130593408,True,10.0,5.0,dqn_pacman_IA_Sola_ShieldON_d5_Penalty_d10_steps400000,SR5-10,SR,validacion_dqn_pacman_IA_Sola_ShieldON_d5_Penalty_d10_steps400000_shield_d5_reward_d10.csv
MEDIA,801.3,1074.0,801.3,68.7,1.3674066,91.1090475181101,3.0,357.99999542236327,0.0,,0.0,0.0,True,0.0,5.0,dqn_pacman_IA_Sola_ShieldON_d5_steps400000,S5,S,validacion_dqn_pacman_IA_Sola_ShieldON_d5_steps400000_shield_d5_reward_d0.csv
MEDIA,636.4,788.5,636.4,0.0,1.2387604,100.0,3.0,262.83333587646484,0.0,,70.55,11.717260747289393,False,10.0,0.0,dqn_pacman_Teacher_Reward_10_Imitation_ShieldOFF_Penalty_d10_steps400000,TR10,TR,validacion_dqn_pacman_Imitation_ShieldOFF_Penalty_d10_steps400000_NoShield_reward_d10.csv
MEDIA,654.4,815.5,654.4,0.0,1.223625,100.0,3.0,271.8333335876465,0.0,,221.8,34.993581280718786,False,20.0,0.0,dqn_pacman_Teacher_Reward_20_Imitation_ShieldOFF_Penalty_d20_steps400000,TR20,TR,validacion_dqn_pacman_Imitation_ShieldOFF_Penalty_d20_steps400000_NoShield_reward_d20.csv
MEDIA,548.7,632.0,548.7,0.0,1.1209443,100.0,3.0,210.66666717529296,0.0,,0.0,0.0,False,0.0,0.0,dqn_pacman_Imitation_ShieldOFF_steps400000,T1,T,validacion_dqn_pacman_Imitation_ShieldOFF_steps400000_NoShield_reward_d0.csv
MEDIA,319.6,260.0,319.6,74.0,0.7772967,76.4969599782234,3.0,86.66666412353516,0.0,,212.5,67.77371284426718,True,20.0,10.0,dqn_pacman_Imitation_ShieldON_d10_Penalty_d20_steps400000,TSR10-20,TSR,validacion_dqn_pacman_Imitation_ShieldON_d10_Penalty_d20_steps400000_shield_d10_reward_d20.csv
MEDIA,811.2,792.0,811.2,93.0,0.9776877,88.13706639311026,3.0,264.00000076293946,0.0,,296.9,37.85315460640141,True,25.0,10.0,dqn_pacman_Teacher_Shield_10_Imitation_ShieldON_d10_steps400000,TSR10-25,TSR,validacion_dqn_pacman_Imitation_ShieldON_d10_steps400000_shield_d10_reward_d25.csv
MEDIA,789.7,1192.5,789.7,74.15,1.5195589,90.3425460725945,3.0,397.5,0.0,,83.8,10.88600070556338,True,10.0,5.0,dqn_pacman_Imitation_ShieldON_d5_Penalty_d10_steps400000,TSR5-10,TSR,validacion_dqn_pacman_Imitation_ShieldON_d5_Penalty_d10_steps400000_shield_d5_reward_d10.csv
MEDIA,438.0,535.5,438.0,58.25,1.2217667,86.64702443448095,3.0,178.5000026702881,0.0,,0.0,0.0,True,0.0,5.0,dqn_pacman_Imitation_ShieldON_d5_steps400000,TS5,TS,validacion_dqn_pacman_Imitation_ShieldON_d5_steps400000_shield_d5_reward_d0.csv
MEDIA,767.9,1028.5,767.9,80.85,1.3467004,89.22128790021173,3.0,342.8333351135254,0.0,,104.45,13.933465986993284,True,15.0,7.5,dqn_pacman_Imitation_ShieldON_d75_Penalty_d15_steps400000,TSR7.5-15,TSR,validacion_dqn_pacman_Imitation_ShieldON_d75_Penalty_d15_steps400000_shield_d7.5_reward_d15.csv
